filename,width,height,class,xmin,ymin,xmax,ymax
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,384,107,414,135
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,340,244,373,277
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,428,259,447,277
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,531,283,546,302
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,341,301,370,329
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,138,197,160,217
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,403,6,418,21
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,559,111,570,125
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,577,97,589,110
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,237,151,252,168
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,285,90,295,101
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,30,160,41,170
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,166,292,177,302
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,44,65,53,75
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,196,61,208,72
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,226,0,241,8
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,412,41,425,52
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,480,212,488,220
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,515,335,523,344
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,540,324,550,334
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,522,308,532,317
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,378,363,390,374
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,21,62,28,70
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,50,124,60,133
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,257,103,266,112
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,343,68,352,77
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,445,191,458,206
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,307,164,315,171
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,419,71,427,79
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,496,142,504,151
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,591,163,608,184
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,570,129,582,143
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,588,74,599,87
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,576,74,586,84
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,494,213,504,222
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,535,119,549,136
5_jpg.rf.8498e33b0e122225503153d2ce588016.jpg,640,396,Crater,423,153,433,163
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,364,8,385,29
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,96,167,117,191
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,1,55,28,121
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,1,0,18,24
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,65,55,76,65
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,160,211,170,220
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,179,229,189,238
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,78,25,85,33
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,126,51,134,58
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,142,89,149,96
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,270,268,280,279
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,108,107,114,113
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,162,89,169,97
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,163,65,169,72
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,247,144,254,151
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,290,160,297,167
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,326,311,334,319
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,96,328,103,335
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,252,337,259,343
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,299,344,306,347
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,130,222,135,228
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,139,245,147,251
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,297,135,306,146
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,317,43,324,50
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,391,137,397,143
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,394,126,399,132
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,393,76,399,82
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,413,64,420,71
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,429,96,435,103
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,434,88,446,101
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,398,94,404,100
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,438,68,447,77
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,392,29,399,36
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,462,48,467,55
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,427,31,439,42
52_jpg.rf.5b2c8a95e9db0c805c9ab46012016e5a.jpg,640,347,Crater,410,38,423,48
